720r1,720 Degrees %1986%Atari Games%Sports/Skateboarding%Suitable For All Ages
720r2,720 Degrees %1986%Atari Games%Sports/Skateboarding%Suitable For All Ages
720r3,720 Degrees %1986%Atari Games%Sports/Skateboarding%Suitable For All Ages
720,720 Degrees %1986%Atari Games%Sports/Skateboarding%Suitable For All Ages
800fath,800 Fathoms%1981%Amenip %Shoot-'Em-Up%Suitable For All Ages
9ballsht,9-Ball Shootout %1993%E-Scape EnterMedia %Sports/Pool and Dart%Suitable For All Ages
9ballsht2,9-Ball Shootout %1993%E-Scape EnterMedia %Sports/Pool and Dart%Suitable For All Ages
9ballsht3,9-Ball Shootout %1993%E-Scape EnterMedia %Sports/Pool and Dart%Suitable For All Ages
9ballshtc,9-Ball Shootout Championship%1993%E-Scape EnterMedia %Sports/Pool and Dart%Suitable For All Ages
qos,A Question of Sport %1992%BFM%Quiz%Suitable For All Ages
qosa,A Question of Sport %1992%BFM%Quiz%Suitable For All Ages
qosb,A Question of Sport %1992%BFM%Quiz%Suitable For All Ages
ad2083,A. D. 2083%1983%Midcoin%Shoot-'Em-Up%Suitable For All Ages
abcopj,A.B. Cop %1990%Sega%Motorcycle%Suitable For All Ages
abcop,A.B. Cop %1990%Sega%Motorcycle%Suitable For All Ages
ar_argh,Aaargh %1988%Arcadia Systems%Action%Suitable For All Ages
abscam,Abscam%1981%GL %Maze%Suitable For All Ages
ace,Ace%1976%Allied Leisure%Shoot-'Em-Up%Suitable For All Ages
aceattac,Ace Attacker %1988%Sega%Sports/Volleyball%Suitable For All Ages
aceattaca,Ace Attacker %1988%Sega%Sports/Volleyball%Suitable For All Ages
acedrvrw,Ace Driver: Racing Evolution %1994%Namco%Driving%Suitable For All Ages
victlapw,Ace Driver: Victory Lap %1996%Namco%Driving%Suitable For All Ages
acrobatm,Acrobat Mission%1991%UPL %Shoot-'Em-Up%Suitable For All Ages
dogfgt,Acrobatic Dog-Fight%1984%Technos Japan%Shooter%Suitable For All Ages
dogfgtu,Acrobatic Dog-Fight %1985%Technos Japan %Shooter%Suitable For All Ages
nss_actr,Act Raiser %1992%Enix%Platform%Animated Violence Mild
actfancrj,Act-Fancer Cybernetick Hyper Weapon %1989%Data East Corporation%Platform%Suitable For All Ages
actfancr1,Act-Fancer Cybernetick Hyper Weapon %1989%Data East Corporation%Platform%Suitable For All Ages
actfancr,Act-Fancer Cybernetick Hyper Weapon %1989%Data East Corporation%Platform%Suitable For All Ages
afighter,Action Fighter %1986%Sega%Shoot-'Em-Up%Suitable For All Ages
actionhw,Action Hollywood%1995%TCH%Maze%Suitable For All Ages
aerfboot,Aero Fighters %1992%bootleg%Shoot-'Em-Up%Suitable For All Ages
aerfboo2,Aero Fighters %1992%bootleg%Shoot-'Em-Up%Suitable For All Ages
aerofgtb,Aero Fighters %1992%Video System Co.%Shoot-'Em-Up%Suitable For All Ages
aerofgtc,Aero Fighters %1992%Video System Co.%Shoot-'Em-Up%Suitable For All Ages
aerofgt,Aero Fighters %1992%Video System Co.%Shoot-'Em-Up%Suitable For All Ages
sonicwi2,Aero Fighters 2 %1994%Video System Co.%Shoot-'Em-Up%Suitable For All Ages
sonicwi3,Aero Fighters 3 %1995%Video System Co.%Shoot-'Em-Up%Suitable For All Ages
aerofgts,Aero Fighters Special %1996%Video System Co.%Shoot-'Em-Up%Suitable For All Ages
aeroboto,Aeroboto%1984%Jaleco %Shoot-'Em-Up%Suitable For All Ages
aerolitos,Aerolitos %1980%bootleg %Shoot-'Em-Up%Suitable For All Ages
aburner,After Burner%1987%Sega%Shooter%Suitable For All Ages
